#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       8.547674224829e+00       1.887535837214e-05      -1.217536756856e+00       2.548750304533e-04       6.025659758638e-08       1.506414939660e-07       2.004159005727e-13       3.012829879319e-08      -9.131525676419e-01       2.548750307923e-04       6.003528968793e-01       6.959798079230e-01      -1.217536629672e+00       2.547894193982e-04       2.911572529377e-04      -9.131527566848e-01       2.550440334065e-04      -2.324855668923e-13       1.031498919341e-16       8.683909755033e-13 
       8.755879317866e+00       1.934365919928e-05      -1.217991773375e+00       2.610363366556e-04       6.481273479123e-08       1.620318369781e-07       2.263991376764e-13       3.240636739562e-08      -9.134938300317e-01       2.610363370742e-04       6.003541465384e-01       6.958839563688e-01      -1.217991621535e+00       2.609442596998e-04       3.054710455675e-04      -9.134940555568e-01       2.612178777979e-04      -2.342532757221e-13       1.112014812540e-16       9.139674662328e-13 
       8.964084410902e+00       1.981236583619e-05      -1.218449389635e+00       2.671953089331e-04       6.959512628903e-08       1.739878157226e-07       2.550284678163e-13       3.479756314451e-08      -9.138370422264e-01       2.671953094410e-04       6.003550520834e-01       6.957878824040e-01      -1.218449211299e+00       2.670964457650e-04       3.201261492152e-04      -9.138373069063e-01       2.673899877254e-04      -2.367644849629e-13       1.196663209684e-16       9.607533161228e-13 
       9.172289503939e+00       2.028147828286e-05      -1.218909546781e+00       2.733519278400e-04       7.460945533730e-08       1.865236383433e-07       2.865037035540e-13       3.730472766865e-08      -9.141821600862e-01       2.733519284476e-04       6.003556317440e-01       6.956916005791e-01      -1.218909340020e+00       2.732459501519e-04       3.351223994180e-04      -9.141824667198e-01       2.735603571992e-04      -2.399583670994e-13       1.285549542354e-16       1.008749650445e-12 
       9.380494596976e+00       2.075099653928e-05      -1.219372193667e+00       2.795061745942e-04       7.986141870486e-08       1.996535467621e-07       3.210347865716e-13       3.993070935243e-08      -9.145291452510e-01       2.795061753128e-04       6.003559016346e-01       6.955951235168e-01      -1.219371956460e+00       2.793927460660e-04       3.504596298272e-04      -9.145294967662e-01       2.797289808568e-04      -2.437820234029e-13       1.378779202452e-16       1.057957496561e-12 
       9.588699690013e+00       2.122092060546e-05      -1.219837285691e+00       2.856580309998e-04       8.535672663321e-08       2.133918165830e-07       3.588420673646e-13       4.267836331660e-08      -9.148779642687e-01       2.856580318415e-04       6.003558760416e-01       6.954984622024e-01      -1.219837015921e+00       2.855368072821e-04       3.661376722422e-04      -9.148783637253e-01       2.858958538851e-04      -2.481893017331e-13       1.476457534285e-16       1.108377789042e-12 
       9.796904783049e+00       2.169125048140e-05      -1.220304783826e+00       2.918074793805e-04       9.110110279816e-08       2.277527569954e-07       4.001565870066e-13       4.555055139908e-08      -9.152285878704e-01       2.918074803583e-04       6.003555676667e-01       6.954016262259e-01      -1.220304479281e+00       2.916781080780e-04       3.821563566414e-04      -9.152290384625e-01       2.920609719540e-04      -2.531398106800e-13       1.578689827136e-16       1.160011374477e-12 
       1.000510987609e+01       2.216198616711e-05      -1.220774653803e+00       2.979545025193e-04       9.710028427022e-08       2.427507106755e-07       4.452203609826e-13       4.855014213511e-08      -9.155809903534e-01       2.979545036470e-04       6.003549878361e-01       6.953046239871e-01      -1.220774312171e+00       2.978166231744e-04       3.985155112088e-04      -9.155814954127e-01       2.982243311564e-04      -2.585980946633e-13       1.685581308260e-16       1.212859015988e-12 
       1.026428385457e+01       2.274852556225e-05      -1.221362817151e+00       3.056029113240e-04       1.049327698059e-07       2.623319245147e-07       5.069379454069e-13       5.246638490294e-08      -9.160221128645e-01       3.056029126593e-04       6.003539019957e-01       6.951836542403e-01      -1.221362425970e+00       3.054539253271e-04       4.193548395196e-04      -9.160226905914e-01       3.058940262067e-04      -2.660551993367e-13       1.825308532068e-16       1.280341095045e-12 
       1.052345783305e+01       2.333569377194e-05      -1.221954558443e+00       3.132475044987e-04       1.131801158844e-07       2.829502897109e-07       5.753720026191e-13       5.659005794219e-08      -9.164659188339e-01       3.132475060666e-04       6.003524284372e-01       6.950624505989e-01      -1.221954113775e+00       3.130868251719e-04       4.407211289824e-04      -9.164665748845e-01       3.135609842841e-04      -2.741985995107e-13       1.972620923201e-16       1.349706602519e-12 
       1.078263181152e+01       2.392349079618e-05      -1.222549833932e+00       3.208882511898e-04       1.218534749391e-07       3.046336873478e-07       6.510647401720e-13       6.092673746956e-08      -9.169123754515e-01       3.208882530171e-04       6.003505823120e-01       6.949410236688e-01      -1.222549331632e+00       3.207152761973e-04       4.626140368387e-04      -9.169131157646e-01       3.212251999706e-04      -2.829832377490e-13       2.127720957079e-16       1.420956526174e-12 
       1.104180579000e+01       2.451191663496e-05      -1.223148605726e+00       3.285251212244e-04       1.309640311448e-07       3.274100778621e-07       7.345878373766e-13       6.548201557242e-08      -9.173614542971e-01       3.285251233402e-04       6.003483769461e-01       6.948193825897e-01      -1.223148041438e+00       3.283392325343e-04       4.850332162294e-04      -9.173622851010e-01       3.288866684418e-04      -2.923702288520e-13       2.290810896010e-16       1.494091694671e-12 
       1.130097976848e+01       2.510097128829e-05      -1.223750840835e+00       3.361580850327e-04       1.405230003006e-07       3.513075007514e-07       8.265433286023e-13       7.026150015029e-08      -9.178131306297e-01       3.361580874684e-04       6.003458241038e-01       6.946975352724e-01      -1.223750209988e+00       3.359586488780e-04       5.079783162374e-04      -9.178140584487e-01       3.365453853891e-04      -3.023258882765e-13       2.462092774231e-16       1.569112787260e-12 
       1.156015374696e+01       2.569065475617e-05      -1.224356510394e+00       3.437871135804e-04       1.505416297117e-07       3.763540742792e-07       9.275644943699e-13       7.527081485583e-08      -9.182673827993e-01       3.437871163698e-04       6.003429342090e-01       6.945754885949e-01      -1.224355808195e+00       3.435734804208e-04       5.314489819250e-04      -9.182684144602e-01       3.442013469522e-04      -3.128209309902e-13       2.641768384048e-16       1.646020342833e-12 
       1.181932772544e+01       2.628096703859e-05      -1.224965589015e+00       3.514121783132e-04       1.610311980725e-07       4.025779951812e-07       1.038316760259e-12       8.051559903624e-08      -9.187241917661e-01       3.514121814924e-04       6.003397165310e-01       6.944532485626e-01      -1.224964810443e+00       3.511836827964e-04       5.554448543670e-04      -9.187253344048e-01       3.518545496635e-04      -3.238298085055e-13       2.830039262968e-16       1.724814768378e-12 
       1.218120153253e+01       2.710624737870e-05      -1.225821681055e+00       3.620520536493e-04       1.764866025580e-07       4.412165063951e-07       1.210563833720e-12       8.824330127902e-08      -9.193662607973e-01       3.620520574383e-04       6.003346909740e-01       6.942822563008e-01      -1.225820787007e+00       3.618016633532e-04       5.898272185370e-04      -9.193675709260e-01       3.625357759944e-04      -3.400188076640e-13       3.107674165412e-16       1.837989189883e-12 
       1.254307533961e+01       2.793275361611e-05      -1.226684322639e+00       3.726840713015e-04       1.929130619037e-07       4.822826547591e-07       1.405161663599e-12       9.645653095183e-08      -9.200132419871e-01       3.726840757834e-04       6.003290621518e-01       6.941109096105e-01      -1.226683302221e+00       3.724104149251e-04       6.252317841097e-04      -9.200147350134e-01       3.732116102540e-04      -3.571141368699e-13       3.403005164207e-16       1.954843062844e-12 
       1.290494914670e+01       2.876048575081e-05      -1.227553468210e+00       3.833081572535e-04       2.103415817759e-07       5.258539544397e-07       1.624256922021e-12       1.051707908879e-07      -9.206651011668e-01       3.833081625193e-04       6.003228471182e-01       6.939392189290e-01      -1.227552309857e+00       3.830098200863e-04       6.616575356688e-04      -9.206667934027e-01       3.838820458635e-04      -3.750719754393e-13       3.716578109029e-16       2.075376375121e-12 
       1.326682295379e+01       2.958944378281e-05      -1.228429078337e+00       3.939242386324e-04       2.288032849818e-07       5.720082124545e-07       1.870135246576e-12       1.144016424909e-07      -9.213218087643e-01       3.939242447814e-04       6.003160606802e-01       6.937671931523e-01      -1.228427769790e+00       3.935997624130e-04       6.991034430839e-04      -9.213237174509e-01       3.945470770582e-04      -3.938553521587e-13       4.048937693244e-16       2.199588741211e-12 
       1.362869676087e+01       3.041962771211e-05      -1.229311118542e+00       4.045322435844e-04       2.483294108366e-07       6.208235270916e-07       2.145226260451e-12       1.241647054183e-07      -9.219833389207e-01       4.045322507250e-04       6.003087157761e-01       6.935948399304e-01      -1.229309646829e+00       4.041801263607e-04       7.375684616041e-04      -9.219854822517e-01       4.052066987638e-04      -4.134329047555e-13       4.400627411234e-16       2.327479432986e-12 
