# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   72       2.509751260960e-10       4.966612330203e-14      -9.241988232965e-13       2.345293473875e-16       2.493416218168e-11       2.968414256425e-12      -1.105255788043e-14 
   73       2.542454704689e-10       5.156250699752e-14      -9.893484947022e-13       2.410547087413e-16       2.413503177936e-11       2.883669034501e-12      -1.082605381481e-14 
   74       2.575498488313e-10       5.348506242927e-14      -1.056090036767e-12       2.476680338634e-16       2.336875394340e-11       2.802714495617e-12      -1.057979809158e-14 
   75       2.608887177853e-10       5.543272105070e-14      -1.124383919510e-12       2.543693858029e-16       2.263487508934e-11       2.725432539166e-12      -1.031993027177e-14 
   76       2.642621043452e-10       5.740437560941e-14      -1.194187706057e-12       2.611588451538e-16       2.193238822755e-11       2.651635587430e-12      -1.005327378483e-14 
   77       2.676695817531e-10       5.939888037063e-14      -1.265456022668e-12       2.680365107650e-16       2.125970728368e-11       2.581063459274e-12      -9.787358049063e-15 
   78       2.711102452960e-10       6.141505134066e-14      -1.338140528755e-12       2.750025004495e-16       2.061464141919e-11       2.513380243819e-12      -9.530440592000e-15 
   79       2.745826881213e-10       6.345166649030e-14      -1.412189886910e-12       2.820569516945e-16       1.999436935178e-11       2.448171174131e-12      -9.291529170760e-15 
   80       2.780855643010e-10       6.550741639198e-14      -1.487552027894e-12       2.892000040884e-16       1.939614407289e-11       2.385042317520e-12      -9.078413891366e-15 
   81       2.816194438381e-10       6.758074576659e-14      -1.564181464579e-12       2.964317415275e-16       1.881960443857e-11       2.323946462408e-12      -8.891321325681e-15 
   82       2.851852371722e-10       6.966998469781e-14      -1.642033199416e-12       3.037522412211e-16       1.826482002453e-11       2.264908384772e-12      -8.728193551299e-15 
   83       2.887836234422e-10       7.177339509021e-14      -1.721060554601e-12       3.111615914479e-16       1.773158441908e-11       2.207925854854e-12      -8.586565763671e-15 
   84       2.924150371773e-10       7.388916997449e-14      -1.801215184608e-12       3.186598919264e-16       1.721940306946e-11       2.152968414850e-12      -8.463551544617e-15 
   85       2.960796549882e-10       7.601543281265e-14      -1.882447088700e-12       3.262472541866e-16       1.672748112821e-11       2.099976156608e-12      -8.355828130833e-15 
   86       2.997773822591e-10       7.815023680317e-14      -1.964704623458e-12       3.339238019407e-16       1.625471129947e-11       2.048858499320e-12      -8.259621682402e-15 
   87       3.035078398377e-10       8.029156418621e-14      -2.047934515300e-12       3.416896714545e-16       1.579966168538e-11       1.999492967220e-12      -8.170692551302e-15 
   88       3.072703507277e-10       8.243732554879e-14      -2.132081873006e-12       3.495450119180e-16       1.536056363240e-11       1.951723967273e-12      -8.084320549917e-15 
   89       3.110642165587e-10       8.458542994139e-14      -2.217090242524e-12       3.574900047597e-16       1.493573522379e-11       1.905403016828e-12      -7.996343897457e-15 
   90       3.148896257110e-10       8.673400934752e-14      -2.302901753972e-12       3.655249242516e-16       1.452495438265e-11       1.860519322847e-12      -7.906494947443e-15 
   91       3.187468637893e-10       8.888122830979e-14      -2.389457020875e-12       3.736500871388e-16       1.412827977408e-11       1.817087529615e-12      -7.815563020104e-15 
   92       3.226360276818e-10       9.102521661406e-14      -2.476695112901e-12       3.818658351887e-16       1.374562878528e-11       1.775107499320e-12      -7.724388345450e-15 
   93       3.265570165929e-10       9.316406965540e-14      -2.564553569016e-12       3.901725358462e-16       1.337677189840e-11       1.734563710723e-12      -7.633863117222e-15 
