#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       7.056868732643e-02       1.530328734030e-07      -1.201703902945e+00       2.115840086860e-02       3.289466350280e-10       8.223665875701e-10       7.191708416721e-18       1.644733175140e-10      -9.012779272090e-01       2.115840086860e-02       6.002798532945e-01       6.998231258959e-01      -1.201703899497e+00       2.115371188999e-02       1.992802797728e-04      -9.012779325918e-01       2.116816066331e-02      -1.079493363109e-13       2.599463144946e-15       2.646148005260e-13 
       7.065066150518e-02       1.532106669485e-07      -1.201709377652e+00       2.118298107488e-02       3.300944513502e-10       8.252361283755e-10       7.233581643984e-18       1.650472256751e-10      -9.012820332387e-01       2.118298107488e-02       6.002794033443e-01       6.998223357027e-01      -1.201709373690e+00       2.117827573602e-02       1.997429130190e-04      -9.012820394229e-01       2.119277491796e-02      -1.078546265036e-13       2.609086698888e-15       2.652862389954e-13 
       7.088079075956e-02       1.537097939204e-07      -1.201724732455e+00       2.125198523398e-02       3.333310121397e-10       8.333275303492e-10       7.352177082267e-18       1.666655060698e-10      -9.012935493414e-01       2.125198523398e-02       6.002781430323e-01       6.998201245896e-01      -1.201724727043e+00       2.124723376335e-02       2.010445488410e-04      -9.012935577905e-01       2.126187508508e-02      -1.075948818737e-13       2.636233783977e-15       2.671761305635e-13 
       7.111092001395e-02       1.542089213881e-07      -1.201740066440e+00       2.132098822086e-02       3.365886439376e-10       8.414716098439e-10       7.472322638831e-18       1.682943219688e-10      -9.013050498300e-01       2.132098822086e-02       6.002768868621e-01       6.998179239745e-01      -1.201740059563e+00       2.131619031839e-02       2.023504136825e-04      -9.013050605661e-01       2.133097470499e-02      -1.073440911899e-13       2.663573921085e-15       2.690733058108e-13 
       7.134104926834e-02       1.547080493516e-07      -1.201755380395e+00       2.138999003792e-02       3.398674149364e-10       8.496685373409e-10       7.594033454729e-18       1.699337074682e-10      -9.013165352961e-01       2.138999003792e-02       6.002756347590e-01       6.998157336601e-01      -1.201755372038e+00       2.138514540251e-02       2.036605074353e-04      -9.013165483416e-01       2.140007378208e-02      -1.071021323042e-13       2.691107854712e-15       2.709777693923e-13 
       7.157117852272e-02       1.552071778108e-07      -1.201770675074e+00       2.145899068707e-02       3.431673933202e-10       8.579184833004e-10       7.717324769058e-18       1.715836966601e-10      -9.013280063053e-01       2.145899068707e-02       6.002743866543e-01       6.998135534577e-01      -1.201770665223e+00       2.145409901668e-02       2.049748299915e-04      -9.013280216826e-01       2.146917232032e-02      -1.068688854283e-13       2.718836329900e-15       2.728895259565e-13 
       7.180130777711e-02       1.557063067658e-07      -1.201785951217e+00       2.152799017018e-02       3.464886472711e-10       8.662216181777e-10       7.842211919421e-18       1.732443236355e-10      -9.013394634130e-01       2.152799017018e-02       6.002731424805e-01       6.998113831821e-01      -1.201785939859e+00       2.152305116179e-02       2.062933812429e-04      -9.013394811448e-01       2.153827032359e-02      -1.066442330862e-13       2.746760092177e-15       2.748085801426e-13 
       7.203143703149e-02       1.562054362166e-07      -1.201801209560e+00       2.159698848916e-02       3.498312449708e-10       8.745781124270e-10       7.968710342270e-18       1.749156224854e-10      -9.013509071699e-01       2.159698848916e-02       6.002719021695e-01       6.998092226497e-01      -1.201801196678e+00       2.159200183878e-02       2.076161610814e-04      -9.013509272788e-01       2.160736779585e-02      -1.064280600661e-13       2.774879887527e-15       2.767349365778e-13 
       7.271817468152e-02       1.576949107523e-07      -1.201846643819e+00       2.180288215168e-02       3.599335742952e-10       8.998339357379e-10       8.355931511449e-18       1.799667871476e-10      -9.013849828645e-01       2.180288215168e-02       6.002682232122e-01       6.998028314726e-01      -1.201846626306e+00       2.179775151424e-02       2.115886560378e-04      -9.013850102038e-01       2.181356112910e-02      -1.058322705391e-13       2.859965976480e-15       2.825269062566e-13 
       7.340491233155e-02       1.591843897029e-07      -1.201891944527e+00       2.200876551163e-02       3.702283903478e-10       9.255709758694e-10       8.758058251777e-18       1.851141951739e-10      -9.014189583954e-01       2.200876551163e-02       6.002645763019e-01       6.997965208138e-01      -1.201891922249e+00       2.200348814552e-02       2.155988030861e-04      -9.014189931729e-01       2.201974986961e-02      -1.053081056249e-13       2.946824267650e-15       2.883840662988e-13 
       7.409164998158e-02       1.606738730684e-07      -1.201937129364e+00       2.221463861235e-02       3.807175046568e-10       9.517937616420e-10       9.175516648126e-18       1.903587523284e-10      -9.014528470231e-01       2.221463861235e-02       6.002609597536e-01       6.997902862508e-01      -1.201937102186e+00       2.220921175008e-02       2.196465993527e-04      -9.014528894505e-01       2.222593411460e-02      -1.048528350826e-13       3.035474659521e-15       2.943065380871e-13 
       7.477838763161e-02       1.621633608488e-07      -1.201982215106e+00       2.242050149241e-02       3.914027285626e-10       9.785068214066e-10       9.608740820637e-18       1.957013642813e-10      -9.014866613298e-01       2.242050149241e-02       6.002573719582e-01       6.997841235873e-01      -1.201982182889e+00       2.241492234065e-02       2.237320419628e-04      -9.014867116227e-01       2.243211395654e-02      -1.044638790007e-13       3.125937087903e-15       3.002944422538e-13 
       7.546512528164e-02       1.636528530441e-07      -1.202027217703e+00       2.262635418632e-02       4.022858732224e-10       1.005714683056e-09       1.005817299952e-17       2.011429366112e-10      -9.015204132771e-01       2.262635418632e-02       6.002538113725e-01       6.997780288337e-01      -1.202027180306e+00       2.262061992588e-02       2.278551280385e-04      -9.015204716553e-01       2.263828948383e-02      -1.041387983016e-13       3.218231525613e-15       3.063478986902e-13 
       7.615186293167e-02       1.651423496543e-07      -1.202072152346e+00       2.283219672514e-02       4.133687496163e-10       1.033421874041e-09       1.052426359992e-17       2.066843748081e-10      -9.015541142597e-01       2.283219672515e-02       6.002502765100e-01       6.997719981895e-01      -1.202072109627e+00       2.282630451097e-02       2.320158546989e-04      -9.015541809468e-01       2.284446078141e-02      -1.038752859464e-13       3.312377982198e-15       3.124670265573e-13 
       7.732262079042e-02       1.676816699497e-07      -1.202148641595e+00       2.318309600063e-02       4.327286148878e-10       1.081821537220e-09       1.135857768620e-17       2.163643074439e-10      -9.016114811964e-01       2.318309600063e-02       6.002443055032e-01       6.997618546724e-01      -1.202148589464e+00       2.317692787206e-02       2.391958827794e-04      -9.016115625763e-01       2.319593434336e-02      -1.035618413892e-13       3.477206992957e-15       3.230507313645e-13 
