#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       8.186899784128e+01       2.088837752822e-04      -1.383660253714e+00       2.457602857132e-05       7.596524907770e-07       1.899131226942e-06       3.322178951809e-11       3.798262453885e-07      -1.037745190286e+00       2.457602905323e-05       5.847375856010e-01       6.544084233565e-01      -1.383660235454e+00       2.456676888281e-05       2.587843466962e-04      -1.037745207319e+00       2.458751162890e-05      -3.186652326367e-13       8.252866997624e-18       7.358538796623e-13 
       8.209669648702e+01       2.095522321024e-04      -1.383319707801e+00       2.463045402376e-05       7.661966892942e-07       1.915491723236e-06       3.372283435745e-11       3.830983446471e-07      -1.037489780852e+00       2.463045458258e-05       5.848681263044e-01       6.544954272093e-01      -1.383319686718e+00       2.462111436348e-05       2.602774547928e-04      -1.037489800509e+00       2.464202604449e-05      -3.161662343470e-13       8.315011240027e-18       7.394529527641e-13 
       8.232439513276e+01       2.102211742789e-04      -1.382985413769e+00       2.468492843653e-05       7.727826845133e-07       1.931956711283e-06       3.423024517118e-11       3.863913422566e-07      -1.037239060328e+00       2.468492907355e-05       5.849973966842e-01       6.545808722247e-01      -1.382985389838e+00       2.467550829264e-05       2.617738607315e-04      -1.037239082630e+00       2.469658985851e-05      -3.136982258623e-13       8.377442596914e-18       7.430574348873e-13 
       8.307089546404e+01       2.124176767535e-04      -1.381932232833e+00       2.486385601847e-05       7.946699823441e-07       1.986674955860e-06       3.593925096651e-11       3.973349911720e-07      -1.036449174626e+00       2.486385692108e-05       5.854124803665e-01       6.548503321455e-01      -1.381932199393e+00       2.485416840288e-05       2.667029285339e-04      -1.036449205743e+00       2.487581361614e-05      -3.058183534347e-13       8.584135577944e-18       7.549121403318e-13 
       8.381739579531e+01       2.146193959753e-04      -1.380942380344e+00       2.504328109261e-05       8.170148383263e-07       2.042537095816e-06       3.771981151109e-11       4.085074191632e-07      -1.035706785260e+00       2.504328227528e-05       5.858145892307e-01       6.551040045402e-01      -1.380942337126e+00       2.503332042965e-05       2.716675727390e-04      -1.035706825415e+00       2.505553959316e-05      -2.982498386239e-13       8.793917446831e-18       7.668236114664e-13 
       8.456389612659e+01       2.168263319444e-04      -1.380013055779e+00       2.522318263704e-05       8.398234670733e-07       2.099558667683e-06       3.957438100434e-11       4.199117335366e-07      -1.035009791837e+00       2.522318411469e-05       5.862042176169e-01       6.553425896605e-01      -1.380013002508e+00       2.521294329380e-05       2.766678884376e-04      -1.035009841256e+00       2.523574678157e-05      -2.909770011177e-13       9.006790321315e-18       7.787908231624e-13 
       8.531039645787e+01       2.190384846608e-04      -1.379141599096e+00       2.540354049948e-05       8.631020427951e-07       2.157755106988e-06       4.150547452007e-11       4.315510213976e-07      -1.034356199326e+00       2.540354228751e-05       5.865818374614e-01       6.555667526329e-01      -1.379141535492e+00       2.539301678561e-05       2.817039666085e-04      -1.034356258238e+00       2.541641504287e-05      -2.839849898175e-13       9.222756222537e-18       7.908127732692e-13 
       8.605689678915e+01       2.212558541245e-04      -1.378325482610e+00       2.558433535466e-05       8.868567204806e-07       2.217141801202e-06       4.351566369722e-11       4.434283602403e-07      -1.033744111963e+00       2.558433746894e-05       5.869478995269e-01       6.557771254900e-01      -1.378325408388e+00       2.557352152207e-05       2.867758942925e-04      -1.033744180602e+00       2.559752506542e-05      -2.772597318680e-13       9.441817073800e-18       8.028884817266e-13 
       8.680339712043e+01       2.234784403354e-04      -1.377562303505e+00       2.576554866597e-05       9.110934187148e-07       2.277733546787e-06       4.560756636833e-11       4.555467093574e-07      -1.033171727636e+00       2.576555112287e-05       5.873028344881e-01       6.559743090418e-01      -1.377562218373e+00       2.575443890865e-05       2.918837547487e-04      -1.033171806239e+00       2.577905832609e-05      -2.707878853628e-13       9.663974699765e-18       8.150169897181e-13 
       8.805357452208e+01       2.272123289947e-04      -1.376396540846e+00       2.606991858759e-05       9.527793501255e-07       2.381948375314e-06       4.930135968449e-11       4.763896750627e-07      -1.032297405646e+00       2.606992165628e-05       5.878734495692e-01       6.562765502572e-01      -1.376396436774e+00       2.605830007634e-05       3.005186750361e-04      -1.032297501474e+00       2.608397481931e-05      -2.604825161260e-13       1.004296656408e-17       8.354445079688e-13 
