# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   67       2.348813877460e-10       4.042989831004e-14      -6.229094206349e-13       0.000000000000e+00       2.947331616668e-11       3.452350662564e-12      -1.169066467632e-14 
   68       2.379850605473e-10       4.217189945990e-14      -6.796871946048e-13       0.000000000000e+00       2.848091084708e-11       3.347008816657e-12      -1.164865118822e-14 
   69       2.411204512698e-10       4.394669544292e-14      -7.381824743156e-13       0.000000000000e+00       2.753476421021e-11       3.246086983793e-12      -1.155820278330e-14 
   70       2.442881889148e-10       4.575286718931e-14      -7.983794597044e-13       0.000000000000e+00       2.663138102098e-11       3.149483351642e-12      -1.142455640424e-14 
   71       2.474883642854e-10       4.758887771547e-14      -8.602609424824e-13       0.000000000000e+00       2.576607100918e-11       3.057001911211e-12      -1.125383247551e-14 
   72       2.507208752860e-10       4.945319781712e-14      -9.238061095090e-13       0.000000000000e+00       2.493416218168e-11       2.968414256425e-12      -1.105255788043e-14 
   73       2.539866124754e-10       5.134471711233e-14      -9.889834190465e-13       0.000000000000e+00       2.413503177936e-11       2.883669034501e-12      -1.082605381481e-14 
   74       2.572864428397e-10       5.326240736017e-14      -1.055756387922e-12       0.000000000000e+00       2.336875394340e-11       2.802714495617e-12      -1.057979809158e-14 
   75       2.606208280716e-10       5.520520125759e-14      -1.124085658040e-12       0.000000000000e+00       2.263487508934e-11       2.725432539166e-12      -1.031993027177e-14 
   76       2.639898003890e-10       5.717199265676e-14      -1.193928966338e-12       0.000000000000e+00       2.193238822755e-11       2.651635587430e-12      -1.005327378483e-14 
   77       2.673929383539e-10       5.916163678230e-14      -1.265241114742e-12       0.000000000000e+00       2.125970728368e-11       2.581063459274e-12      -9.787358049063e-15 
   78       2.708293426900e-10       6.117295044856e-14      -1.337973940123e-12       0.000000000000e+00       2.061464141919e-11       2.513380243819e-12      -9.530440592000e-15 
   79       2.742976121021e-10       6.320471227687e-14      -1.412076284255e-12       0.000000000000e+00       1.999436935178e-11       2.448171174131e-12      -9.291529170760e-15 
   80       2.777964059897e-10       6.525561343667e-14      -1.487496257688e-12       0.000000000000e+00       1.939614407289e-11       2.385042317520e-12      -9.078413891366e-15 
   81       2.813262983303e-10       6.732409953907e-14      -1.564188550264e-12       0.000000000000e+00       1.881960443857e-11       2.323946462408e-12      -8.891321325681e-15 
   82       2.848882031165e-10       6.940850155359e-14      -1.642108341292e-12       0.000000000000e+00       1.826482002453e-11       2.264908384772e-12      -8.728193551299e-15 
   83       2.884828029487e-10       7.150708215743e-14      -1.721209130628e-12       0.000000000000e+00       1.773158441908e-11       2.207925854854e-12      -8.586565763671e-15 
   84       2.921105357222e-10       7.361803503649e-14      -1.801442751117e-12       0.000000000000e+00       1.721940306946e-11       2.152968414850e-12      -8.463551544617e-15 
   85       2.957715813135e-10       7.573948418641e-14      -1.882759381024e-12       0.000000000000e+00       1.672748112821e-11       2.099976156608e-12      -8.355828130833e-15 
   86       2.994658482683e-10       7.786948321360e-14      -1.965107556475e-12       0.000000000000e+00       1.625471129947e-11       2.048858499320e-12      -8.259621682402e-15 
   87       3.031929604875e-10       8.000601463632e-14      -2.048434183888e-12       0.000000000000e+00       1.579966168538e-11       1.999492967220e-12      -8.170692551302e-15 
   88       3.069522439146e-10       8.214698918568e-14      -2.132684552410e-12       0.000000000000e+00       1.536056363240e-11       1.951723967273e-12      -8.084320549917e-15 
   89       3.107430034974e-10       8.429031580578e-14      -2.217802382210e-12       0.000000000000e+00       1.493573522379e-11       1.905403016828e-12      -7.996343897457e-15 
   90       3.145654328840e-10       8.643412576177e-14      -2.303729950915e-12       0.000000000000e+00       1.452495438265e-11       1.860519322847e-12      -7.906494947443e-15 
   91       3.184198235643e-10       8.857658256287e-14      -2.390408010012e-12       0.000000000000e+00       1.412827977408e-11       1.817087529615e-12      -7.815563020104e-15 
   92       3.223062784593e-10       9.071581474794e-14      -2.477775763549e-12       0.000000000000e+00       1.374562878528e-11       1.775107499320e-12      -7.724388345450e-15 
   93       3.262247029569e-10       9.284991624577e-14      -2.565770881110e-12       0.000000000000e+00       1.337677189840e-11       1.734563710723e-12      -7.633863117222e-15 
   94       3.301747959474e-10       9.497694673524e-14      -2.654329510787e-12       0.000000000000e+00       1.302132706340e-11       1.695424657824e-12      -7.544932546835e-15 
   95       3.341560408592e-10       9.709493200556e-14      -2.743386292154e-12       0.000000000000e+00       1.267875407098e-11       1.657642248530e-12      -7.458595917326e-15 
   96       3.381676966942e-10       9.920186431643e-14      -2.832874369241e-12       0.000000000000e+00       1.234834892543e-11       1.621151203324e-12      -7.375907637300e-15 
   97       3.422087890638e-10       1.012957027583e-13      -2.922725403502e-12       0.000000000000e+00       1.202923821751e-11       1.585868453930e-12      -7.297978294876e-15 
   98       3.462781012242e-10       1.033743736124e-13      -3.012869586795e-12       0.000000000000e+00       1.172037349735e-11       1.551692541981e-12      -7.225975711633e-15 
   99       3.503744573158e-10       1.054358059632e-13      -3.103236382977e-12       0.000000000000e+00       1.142077288565e-11       1.518527039101e-12      -7.160810323909e-15 
  100       3.544976372334e-10       1.074780435100e-13      -3.193756844511e-12       0.000000000000e+00       1.113029711933e-11       1.486355892068e-12      -7.102138200994e-15 
  101       3.586475752890e-10       1.094991493357e-13      -3.284361649615e-12       0.000000000000e+00       1.084897348395e-11       1.455177682199e-12      -7.049218114019e-15 
  102       3.628240742154e-10       1.114971728445e-13      -3.374980424437e-12       0.000000000000e+00       1.057675578463e-11       1.424982249771e-12      -7.001211873089e-15 
  103       3.670267997428e-10       1.134701505499e-13      -3.465541764861e-12       0.000000000000e+00       1.031352171579e-11       1.395750383857e-12      -6.957181554889e-15 
  104       3.712552751772e-10       1.154161068621e-13      -3.555973258310e-12       0.000000000000e+00       1.005907023085e-11       1.367453512168e-12      -6.916086730300e-15 
  105       3.755088759773e-10       1.173330548755e-13      -3.646201505554e-12       0.000000000000e+00       9.813118911954e-12       1.340053390883e-12      -6.876781692005e-15 
  106       3.797868243322e-10       1.192189971562e-13      -3.736152142512e-12       0.000000000000e+00       9.575301339649e-12       1.313501794486e-12      -6.838012682106e-15 
  107       3.840881837390e-10       1.210719265295e-13      -3.825749862060e-12       0.000000000000e+00       9.345164462626e-12       1.287740205607e-12      -6.798415119730e-15 
  108       3.884118535800e-10       1.228898268672e-13      -3.914918435833e-12       0.000000000000e+00       9.122165967413e-12       1.262699504851e-12      -6.756510828644e-15 
  109       3.927565637002e-10       1.246706738757e-13      -4.003580736029e-12       0.000000000000e+00       8.905671648091e-12       1.238299660639e-12      -6.710705264863e-15 
